Number,Gender,GivenName,Surname,StreetAddress,City,ZipCode,EmailAddress
1,male,Henry,Lane,"70 Taipari Road","Te Atatu South",0610,HenryLane@teleworm.us
2,female,Alica,Everingham,"106 Skerrett Crescent",Greenmeadows,4112,AlicaEveringham@cuvox.de
3,female,Isabel,Piguenit,"51 Holdaway Grove",Hope,7020,IsabelPiguenit@dayrep.com
4,female,Lara,Bethune,"230 Parkland Place",Whitianga,3510,LaraBethune@armyspy.com
5,female,Ellie,Levvy,"44 Bannister Avenue",Ohariu,6037,EllieLevvy@teleworm.us
6,female,Brianna,O'Brien,"139 Rintoul Street","Houghton Bay",6023,BriannaOBrien@rhyta.com
7,male,Hudson,McMinn,"133 Maori Road","Nelson South",7010,HudsonMcMinn@jourrapide.com
8,male,Zane,Powers,"249 Huia Street",Lorneville,9810,ZanePowers@fleckens.hu
9,male,Christian,Wearing,"228 Leven Street",Glenleith,9010,ChristianWearing@fleckens.hu
10,female,Natalie,Ziesemer,"136 Lardner Road",Kew,9812,NatalieZiesemer@cuvox.de
11,male,Seth,Burrowes,"5 O'Connor Place",Bishopdale,8053,SethBurrowes@jourrapide.com
12,female,Samantha,Schaffer,"123 Flight Place",Spotswood,4310,SamanthaSchaffer@teleworm.us
13,male,Xavier,Howard,"85 Charles Road",Lynmore,3010,XavierHoward@fleckens.hu
14,male,Anthony,"De Beuzeville","2 Fantail Grove","Lower Hutt Central",5010,AnthonyDeBeuzeville@fleckens.hu
15,male,Zachary,Kitson,"105 Maketu Street","Durie Hill",4500,ZacharyKitson@cuvox.de
16,female,Stephanie,Daley,"86 Trafalgar Street",Gracefield,5010,StephanieDaley@cuvox.de
17,female,Claire,Grattan,"169 Bullen Street",Tahunanui,7011,ClaireGrattan@armyspy.com
18,female,Sophia,Crace,"179 Argyle Street","St Marys Bay",1011,SophiaCrace@jourrapide.com
19,male,Finn,Croll,"182 Grey Street",Richmond,9810,FinnCroll@superrito.com
20,male,Hugo,Leak,"4 Brougham Street",Barrington,8024,HugoLeak@armyspy.com
21,female,Georgia,Hannah,"167 Walnut Lane",Waiake,0630,GeorgiaHannah@rhyta.com
22,female,Mia,Ranken,"2 Ranfurly Terrace","Pyes Pa",3112,MiaRanken@dayrep.com
23,male,Rory,O'Ferrall,"192 Barton Avenue",Akatarawa,5018,RoryOFerrall@cuvox.de
24,female,Eve,Oom,"154 Colin Street",Kaikorai,9010,EveOom@einrot.com
25,male,Tristan,Dundas,"97 Evelyn Court",Dinsdale,3204,TristanDundas@cuvox.de
26,female,Lucy,Toutcher,"77 Caledonia Street",Kilbirnie,6022,LucyToutcher@fleckens.hu
27,female,Madison,Harford,"242 Leonard Place","Whangarei Central",0110,MadisonHarford@teleworm.us
28,female,Lilian,Tolmer,"101 Ashcroft Street",Taradale,4112,LilianTolmer@teleworm.us
29,male,Koby,Chinnery,"243 Hargreaves Street",Brooklyn,6021,KobyChinnery@armyspy.com
30,female,Stella,Band,"230 Avondale Road",Wainoni,8061,StellaBand@teleworm.us
31,male,Ryder,Zouch,"143 Depot Street",Tihoitonga,3015,RyderZouch@jourrapide.com
32,female,Imogen,Pidgeon,"192 Railway Avenue",Belmont,5010,ImogenPidgeon@teleworm.us
33,male,Christopher,Case,"11 Trafalgar Street",Brooklands,4310,ChristopherCase@fleckens.hu
34,male,Mason,Sharkey,"162 Brook Street","Thomsons Ford",7201,MasonSharkey@cuvox.de
35,female,Samantha,Hawes,"70 Wicksteed Street",Brooklands,4310,SamanthaHawes@dayrep.com
36,female,Mariam,Shann,"85 Carmichael Road",Bellevue,3110,MariamShann@gustr.com
37,female,Piper,Rowan,"202 Timaru Grove",Alicetown,5010,PiperRowan@fleckens.hu
38,female,Tayla,South,"99 Crieff Street",Wilton,6012,TaylaSouth@fleckens.hu
